name,duration_ms,duration_min,explicit,track_number,disc_number,popularity,release_date,total_tracks,album_type,danceability,energy,key,audio_analysis_loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,num_samples,duration,sample_md5,analysis_sample_rate,analysis_channels,lyrics
Apple,151739,2.53,FALSE,11,1,56,2024-06-10,18,album,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4,3345860,151.73969,,22050,1,"I guess the apple don't fall far from the tree
'Cause I've been looking at you so long
Now I only see me
I wanna throw the apple into the sky
Feels like you never understand me
So I just wanna drive
To the airport, the airport
The airport, the airport
I guess the apple could turn yellow or green
I know there's lots of different nuances
To you and to me
I wanna grow the apple, keep all the seeds
But I can't help but get so angry
You don't listen, I leave
To the airport, the airport
The airport, the airport
The airport, the airport
The airport, the airport
(Yeah, yeah)
I'm gonna drive, gonna drive all night
I'm gonna drive, gonna drive all night
I think the apple's rotten right to the core
From all the things passed down
From all the apples coming before
I split the apple down symmetrical lines
And what I find is kinda scary
Makes me just wanna drive
(Drive, drive, drive, dr-dr-dr-drive, drive, drive)
(I'm gonna drive, gonna drive all night)
(I'm gonna drive, gonna drive all night)
(Drive, drive, drive, dr-dr-dr-drive, drive)
I wanna know where you go
When you're feeling alone
When you're feeling alone, do you?
I wanna know where you go
When you're feeling alone
When you're feeling alone, do you?
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you, do you, do you)
(Do you, do you)"
B2b,178579,2.98,FALSE,12,1,52,2024-06-10,18,album,0.769,0.771,1,-3.12,1,0.0436,0.000783,0.671,0.0537,0.37,116.027,3,3937669,178.57909,,22050,1,"Back to, back to, back to, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don’t wanna go back, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to
Back to, back to, back to, back to you
I don’t wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to
Back to, back to, back to, back to you
I don’t wanna fall right back to us
Maybe you should run right back to her
I don’t wanna go back, back to
Back to, back to, back to, back to you
I don't wanna fall right back to us
Maybe you should run right back to her
I don’t wanna go back, back to
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back to
Took a long time
Breaking muscle down
Building muscle up
Repeating it
Took a long time
Breaking muscle down
Building muscle up
Repeating it
I don't wanna feel feelings
I don't wanna feel feelings
I don't wanna feel feelings
I, I, I (Ah, ah, ah)
Back to, back to, back to, back to you
I don’t wanna fall right back to us
Maybe you should run right back to her
I don't wanna go back, back to (Ah, ah, ah)
Back, back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back (Ah, ah, ah)
Back, back, back, back, back
Back, back, back, back, back
Back, back, back, back, back, back
Back, back, back, back, back (Ah, ah, ah)
Back, back, back, back, back, back (Uh-uh)
Back, back, back, back, back (Uh-uh)
Back, back, back, back, back (Uh-uh)
Back, back, back, back, back, back (Ah, ah, ah, uh-uh)
Back, back, back, back, back (Uh-uh)
Back, back, back, back, back (Uh-uh)
Back, back, back, back, back, back (Uh-uh)
(Ah, ah, ah)"
Mean girls,189410,3.16,TRUE,13,1,51,2024-06-10,18,album,0.708,0.617,6,-6.695,1,0.0394,0.116,0,0.92,0.861,139.991,4,4176509,189.41084,,22050,1,"Yeah, it's 2 a.m., and she's out there
In the sheer white dress, wearing last night's makeup
All coquette-ish in the pictures with the flash on
Worships Lana Del Rey in her AirPods, yeah
Yeah, she's in her mid-twenties, real intelligent
Hedonistic with the gravel drawl and dead eyes
You said she's anorexic and you heard she likes when people say it
Think you already know her, but you don't
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
Yeah, it's 4 a.m., and she's out there
With the razor-sharp tongue stuck to skinny cigarettes
Calls him Daddy while she's fingering a gold cross
And she's kinda fucked up, but she's still in Vogue
Yeah, she's in her mid-twenties, real intelligent
And you hate the fact she's New York City's darling
You said she's problematic and the way you say it, so fanatic
Think she already knows that you're obsessed
(This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls)
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls (Mean girls)
This one's for all my bad girls (Bad girls)
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls
This one's for all my bad girls
This one's for all my break your boyfriend's heart girls
For all my tear his shit apart girls
This one's for all my mean girls"
I think about it all the time,135878,2.26,FALSE,14,1,47,2024-06-10,18,album,0.819,0.916,0,-7.276,1,0.0873,0.359,0.00032,0.19,0.871,122.027,4,2996126,135.87872,,22050,1,"I think about it all the time
That I might run out of time
But I finally met my baby
And a baby might be mine
'Cause maybe one day I might
If I don't run out of time
Would it give my life a new purpose? (Mmm)
I was walking around in Stockholm
Seriously thinking 'bout my future for the first time
It was ice-cold, playing demos on my iPhone
I went to my friend's place and I met their baby for the first time
How sublime
What a joy, oh my, oh my
Standing there
Same old clothes she wore before, holding her child, yeah
She's a radiant mother, and he's a bеautiful father
And now they both know thesе things that I don't
I think about it all the time
That I might run out of time
But I finally met my baby
And a baby might be mine
'Cause maybe one day I might
If I don't run out of time
Would it make me miss all my freedom?
I think about it all the time
I-I think about it all the time
That I might run out of time
But I finally met my baby
And a baby might be mine
'Cause maybe one day I might
If I don't run out of time
Would it give my life a new purpose?
I think about it all the time
Mm, mm-mm, mm-mm
Mm-mm, mm-mm
Mm-mm, mm-mm
Mm-mm, mm-mm
And they're exactly the same, but they're different now
And I'm so scared I'm missin' out on something
So, we had a conversation on the way home
Should I stop my birth control?
'Cause my career feels so small
In the existential scheme of it all
Mm, mm-mm, mm-mm
Mm-mm, mm-mm (Ti-i-ime)
Mm-mm, mm-mm
Mm-mm, mm-mm
I think about it all the time"
365,203618,3.39,TRUE,15,1,55,2024-06-10,18,album,0.761,0.856,1,-5.121,1,0.109,0.154,0.503,0.16,0.729,127.111,4,4489783,203.61829,,22050,1,"Bumpin' that, bumpin' that, bumpin' that, bumpin' that
Bumpin' that, bumpin' that, bumpin' that, bumpin' that (Ooh)
Ah-ah, ah
Okay, okay
Okay, okay, okay
Here we go
Ah-ah, a— (Ooh)
When I'm in the club, yeah I'm (Bumpin' that)
When I'm at the house, yeah I'm (Bumpin' that)
365, party girl (Bumpin' that)
Should we do a little key?
Should we have a little line? (Ah-ah, ah)
Wanna go real wild when I'm (Bumpin' that)
Meet me in the bathroom
 if you're (Bumpin' that)
3-6-5, party girl (Bumpin' that)
French manicure wipe away the residue
(Ah-ah, ah)
Push my hair back, I look hot when I'm (Bumpin' that)
No, I really don't stop when I'm (Bumpin' that)
Gonna jump when it drops when
(I'm bumpin' that)
Dial 999
it's a good time (Ah-ah, ah)
Who the fuck are you?
I'm a brat when I'm bumpin' that
Now I wanna hear my track, are you bumpin' that?
Till the windows crack, I'll be (Bumpin' that)
No, I never go home, don't sleep, don't eat
Just do it on repeat, keep (Bumpin that)
When I'm in the club, yeah, I'm (Bumpin' that)
3-6-5, party girl (I'm bumpin' that)
Should we do a little key?
Should we have a little line? (Ah-ah, ah)
Wanna go real wild when I'm (Bumpin' that)
Meet me in the bathroom if you're (Bumpin' that)
3-6-5, party girl (Bumpin' that)
French manicure,
wipe away the residue (Ah-ah, ah)
Push my hair back, I look hot when I'm (Bumpin' that)
No, I really don't stop, when I'm (Bumpin' that)
Gonna jump when it drops when (I'm bumpin' that)
Dial 999
, it's a good time (Ah-ah, ah)
Who the fuck are you? I'm a brat when I'm bumpin' that
Now I wanna hear my track, are you bumpin' that?
Till the windows crack, I'll be (Bumpin' that)
No, I never go home, don't sleep, don't eat
Just do it on repeat, keep (Bumpin' that)
When I'm in the club, yeah (I'm bumpin' that)
3-6-5, party girl (I'm bumpin' that)
Should we do a little key?
Should we have a little line?
Wanna go real wild when I'm (Bumpin' that)
Meet me in the bathroom if you're (Bumpin' that)
3-6-5, party girl (Bumpin' that)
French manicure, wipe away the residue
Push my hair back, I look hot when I'm (Bumpin' that)
No, I really don't stop, when I'm (Bumpin' that)
Gonna jump when it drops when I'm (Bumpin' that)
Dial 999
, it's a good time (Ah-ah, ah)
Who the fuck are you? I'm a brat when I'm bumpin' that
Now I wanna hear my track, are you bumpin' that?
Till the windows crack
I'll be (Bumpin' that)
No, I never go home, don't sleep, don't eat
Just do it on repeat, keep (Bumpin that)
When I'm in the club, yeah, I'm (Bumpin' that)
3-6-5, party girl (Bumpin' that)
Should we do a little key?
Should we have a little line?
Wanna go real wild when I'm (Bumpin' that)
Meet me in the bathroom if you're (Bumpin' that)
3-6-5, party girl (Bumpin' that)
French manicure, wipe away the residue
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Ah-ah, ah)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Ah-ah, ah)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Ah-ah, ah)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Bumpin' that)
Keep (Ah-ah, ah)
(Ah-ah, ah)
(Ah-ah, ah)
(Ah-ah, ah)
(Ah-ah, ah)
(Ah-ah, ah)
(Ah-ah, ah)
(Bumpin' that)"
Hello goodbye,219470,3.66,FALSE,16,1,57,2024-06-10,18,album,0.636,0.768,8,-6.314,0,0.0329,0.629,0.0183,0.133,0.629,129.941,4,4839316,219.47011,,22050,1,"I don't know what's going on
Most of the time I'm out my mind
A nervous wreck
I said, ""Goodbye,"" and not ""Hello""
Don't even know
Felt a little fear and some anxiety
The second you arrived and kind of smiled at me
My heart began to rise
I panicked quietly, so silently
I said, ""Goodbye"" before you came
I turned around and ran away
I was too scared, I should have said
""Hello, hello, hello, hello, hello, hello""
I said, ""Goodbye"" before you came
I turned around and ran away
I fеlt too scared, I should have said
""Hello, hеllo, hello, hello, hello, hello""
Now I'm all up in my head
Replaying all my worst regrets
I shot myself, I'm born to lose
Now all I do is think 'bout you
Felt a little fear and some anxiety
The second you arrived and kind of smiled at me
My heart began to rise
I'm freaking quietly, so silently (Ooh)
I said, ""Goodbye"" before you came
I turned around and ran away
I was too scared, I should have said
""Hello, hello, hello, hello, hello, hello""
I said, ""Goodbye"" before you came
I turned around and ran away
I felt too scared, I should have said
""Hello, hello, hello, hello, hello, hello""
Hello, hello, hello, hello, hello, hello
Goodbye
Hello, hello, hello, hello, hello, hello
Goodbye
Hello, hello, hello, hello, hello, hello
I really don't know why-y-y-y
I said, ""Goodbye"" before you came
I turned around and ran away
I was too scared, I should have said
""Hello, hello, hello, hello, hello, hello""
I said, ""Goodbye"" before you came
I turned around and ran away
I felt too scared, I should have said
""Hello, hello, hello, hello, hello, hello""
Ooh, ooh, ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh, ooh-ooh, ooh-ooh"
Guess,142265,2.37,FALSE,17,1,67,2024-06-10,18,album,0.774,0.694,0,-4.809,1,0.105,0.0209,0.368,0.0894,0.537,130.017,4,3136961,142.2658,,22050,1,"Uh-uh
You wanna guess the colour of my underwear
You wanna know what I got going on down there
Is it pretty in pink
 or all see-through?
Is it showing off my brand-new lower-back tattoo
?
You wanna put 'em in your mouth
, pull 'em all down south
You wanna turn this shit out, that's what I'm talking about
Pu-pu-put 'em in your mouth, pull 'em all down south
You wanna turn this shit out, that's what I'm talking about (Yeah)
Try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Wear 'em, post 'em, might remix it
Send them to The Dare, yeah, I think he's with it
Try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Wear 'em, post 'em, might remix it
Send them to The Dare
, yeah, I think he's with it
You wanna guеss the colour of my underwear
You wanna know what I got going on down thеre
Is it pretty in pink
 or all see-through?
Is it showing off my brand new lower back tattoo
?
You wanna put 'em in your mouth
, pull 'em all down south
You wanna turn this shit out, that's what I'm talking about
You wanna try it, bite it, lick it, spit it
Pull it to the side and get all up in it
Wear 'em, post 'em, might remix it
Send them to The Dare, yeah, I think he's with it
Think he's with it
Guess
Yeah
Yeah
Guess, guess, guess, guess, guess, guess, guess, guess
Guess, guess, guess, guess, guess, guess, guess, guess
Guess, guess, guess, guess, guess, guess, guess, guess
Guess, guess, guess, guess, guess, guess, guess, guess
Guess how much money I just took from this deal
Wanna guess the password to my Google Drive
You wanna guess the address of the party I'm at
You wanna guess if I'm serious about this song"
Spring breakers,142521,2.38,TRUE,18,1,64,2024-06-10,18,album,0.808,0.904,10,-6.256,0,0.0817,0.0733,0,0.195,0.601,120.018,4,3142609,142.52196,,22050,1,"Ayy, ayy, ayy, ayy
(Ayy) Hi, it's me, you're all in danger
(Ayy) Never get invited 'cause I'm such a hater
(Ayy) Got my finger on the detonator
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Every time, I—, uh)
(Ayy) Every time, I make it so outrageous
(Ayy) Always gonna lose to people playin' safer
(Ayy) Four, three, two, one, see you later
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers
Ayy, hey, uh, hey
Ayy, hey, hey
Vroom, vroom, vroom, vroom, in a big pink truck
February 10th, and I'm gonna pull up
Hey, Staples Center, what the fuck is up?
Yеah, I'm parked outside watching all the girls strut
Got thеir custom on, hit the worst dressed list
Yeah, you better not slide, not slip, not trip
'Cause I poured a load of gasoline on the carpet
Lit a cigarette, took a drag, then I just flicked it
Place went boom, boom, boom, boom, clap
And I just laughed when the bodies went splat
Yeah, I knew I'd end up with my hands behind my back
In a police car, blue and red sirens
(Ayy) All flash, flash, flash, flash, lights and cameras everywhere
(Ayy) Now I'm on the news with the DUI stare
(Ayy) Who cares?
(Ayy) Just put me on the platform, turn the microphone on
(Ayy) There's no one I wanna thank out there, yeah
(Ayy) Hi, it's me, you're all in danger
(Ayy) Never get invited 'cause I'm such a hater
(Ayy) Got my finger on the detonator
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Every, every, every)
(Ayy) Every time, I make it so outrageous
(Ayy) Always gonna lose to people playin' it safer
(Ayy) Four, three, two, one, see you later
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers
On the flip side, I could talk real, real nice
Maybe if you give me that prize
You might see a tear from my eye
Might change my whole damn life
I-I-I'd maybe thank God on the stage
Yeah, I swear I'd be so nice
No, I'd never misbehave
And I'd do my speech on time, maybe somethin' just like
[Chorus]
(Ayy) Hi, it's me, you're all in danger
(Ayy) Never get invited 'cause I'm such a hater
(Ayy) Got my finger on the detonator
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Every, every, every)
(Ayy) Every time, I make it so outrageous
(Ayy) Always gonna lose to people playin' it safer
(Ayy) Four, three, two, one, see you later
(Ayy) Crazy girl shit, gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers
(Ayy) Gonna, gonna, gonna, gonna
(Ayy) Gonna go Spring Breakers"
360 featuring robyn & yung lean,129761,2.16,FALSE,1,1,57,2024-10-14,35,album,0.928,0.649,0,-6.744,1,0.054,0.427,0.000179,0.135,0.951,120.011,4,2861255,129.76213,,22050,1,"They-they-they all wanna sound like me
All wanna be like Lean
Dress so fresh and so clean
Rock with the diamonds on the sleeve
Breathing in the Stockholm breeze
Get with Robyn on the beat (Uh)
Ayy, get with Robyn on the beat (Sweet)
Cameras flashing, hit the scene
With Robyn and Charli, pull up to the party
Three white lines split the lime and the Barcardi
Icons in the flesh, you're just a demon at a party
Mayor of my town, David Beckham in the noughties
Yeah, I hear it calling
Pick it up, darling, London calling
When I go prancing, yeah, I go all in
Hey, why you do it so cold?
I'm the realest ever, yeah
That's what I've been told
Killin' this shit since 1994
Got everybody in the club dancing on their own
I got that supersonic, push up on it
Right in your ear
I got that supersonic, starship, comet
Right over here
I'm in my Elvis moment, push up on it
Right over there
I got that supersonic, push up on it
Right in your ear
(We got that) Mansion, castle
(Got that) Pets, family
(Got that) Drinks, action
(We got that) Lights, camera, action
Got that really very special language, no one understands it
Three child stars out here doing damage
Me and Lean and Robyn, we don't even have to practice
We got many hits, get you feeling nostalgic
I started so young, I didn't even have email
Now my lyrics on your booby
Baby on my arm
Your favorite pop star is into me, Yung Lean, and Charli
Know you wanna dream like Lean, wanna be like Lean
But it's not as easy as it seems
Who do I trust? Me
We put this shit together so carelessly
Hey, why you do it so cold?
They say I'm the realest ever, yeah
That's what I've been told
Killin' this shit since 1994
We do this one night, yeah, we do it for our lives
'Cause we got that supersonic, push up on it
Right in your ear
I got that supersonic, starship, comet
Right over here (Yeah)
I'm in my Elvis moment, push up on it
Right over there
I got that supersonic, push up on it
Right in your ear (Let's go)
(We got that) Mansion, castle (Yeah, yeah)
(Got that) Pets, family
(Got that) Drinks, action
(We got that) Lights, camera, action
(Got that) Mansion, castle (Yeah, yeah)
(Got that) Pets, family
(Got that) Drinks, action
(We got that) Lights, camera, action"
Club classics featuring bb trickz,174325,2.91,TRUE,2,1,61,2024-10-14,35,album,0.912,0.594,1,-4.445,1,0.0826,0.0178,0.00762,0.113,0.802,131.027,4,3843874,174.32535,,22050,1,"Bumpin' that, bumpin' that, bumpin' that, bumpin' that
Bumpin' that, bumpin' that, bumpin' that, bumpin' that
Bumpin' that, bumpin' that, bumpin' that, bumpin' that
Bumpin' that, bumpin' that, bumpin' that, bumpin' that
Bumpin' that, bumpin' that, bumpin' that, bumpin' that
When I go to the club, I wanna hear those classics
When I go to the club, I wanna hear those club classics (Like-like, it's-it's like, it's like)
When I go to the club, I wanna hear those classics (When I go to the club-club)
When I go to the club, I wanna hear those club classics (It's-it's like, it's like)
When I'm in the club, yeah, I'm (Bumpin' that)
When I'm at the house, yeah, I'm (Bumpin' that)
365, party girl
(Bumpin' that)
Should we do a little key? Should we have a little line?
When I, club, yeah I'm (Bumpin' that)
When I'm at the housе, yeah, I'm (Bumpin' that)
365, party girl (Bumpin' that)
365, party girl (Bumpin' that)
Push my hair back, back, back, back, back, back, back, when I'm (Bumpin' that)
Gonna jump when it drops, back, back, back, back, back, whеn I'm (Bumpin' that)
Push my hair back, back, back, back, back, back, back, when I'm (Bumpin' that)
(Mueve como jelly, como jelly; mueve como jelly, como jelly)
Gonna jump when it drops, back, back, back, back, back, when I'm (Bumpin' that)
(Mueve como jelly, como jelly; mueve como jelly, mueve como jelly)
Bb xcx es un clásico automático
Brr-brr, fashion killa', aunque el outfit sea básico (Ja)
Yo soy una Bratz aunque no tenga na' de plástico (Mm, muah)
Bounce like that (That), obvio es un fanático
Sigo siendo una princesa aunque pasee por el hood
Te daría una cita, pero no estoy en el mood (Ja)
Baddie en el club, BRAT en el club (Prr, prr)
En el club, huh, 'toy sonando en loop (Ah)
En el club (Club, club), en el club
'Toy sonando en loop, BRA-BRAT en el club
Ese culo se mueve como jelly (Como jelly)
Mueve como jelly, se mueve como jelly
Como jelly, como jelly
Se mueve como jelly, como jelly
Se mueve como jelly, se mueve como jelly
Como jelly, como jelly
Se mueve como jelly, jelly-jelly-jelly
Vámonos a casa ya, jo
No, I never go home, don't sleep, don't
When I go to the club, I wanna hear those classics
When I go to the club, I wanna hear those club classics (Like-like, it's-it's like, it's like)
When I go to the club, I wanna hear those classics (When I go to the club-club)
When I go to the club, I wanna hear those club classics (It's-it's like, it's like)
365, bumpin' that, bumpin' that
365, bumpin' that, bumpin' that
365, bumpin' that, bumpin' that
Who the fuck are you? I'm a brat
365, bumpin' that, bumpin' that
365, bumpin' that, bumpin' that
365, bumpin' that, bumpin' that
Who the fuck are you? I'm a brat
Who the fuck are you? I'm a brat when I'm bumpin' that
Who the fuck are you? I'm a brat when I'm bumpin' that
Who the fuck are you? I'm a brat when I'm bumpin' that
Who the fuck are you? I'm a brat when I'm bumpin' that"
Sympathy is a knife featuring ariana grande,154126,2.57,TRUE,3,1,64,2024-10-14,35,album,0.711,0.603,3,-7.815,1,0.0405,0.0962,0,0.112,0.339,135.151,4,3398499,154.12694,,22050,1,"I-i-i-i-it's a knife when you know they're waitin' for you to choke
It's a knife when a journalist does a misquote
It's a knife when a friend is suddenly steppin' on your throat
It's a kn— when they say that you've been doing things you don't-don't
It's a knife when your old friends hate your new friends
When somebody says, ""Charli, I think you've totally changed""
It's a knife when somebody says they like the old me and not the new me
And I'm like, ""Who the fuck is she?""
'Cause it's a knife whеn you're finally on top
'Cause logically the nеxt step is they wanna see you fall to the bottom
It's a knife when you're finally on top (On top)
'Cause logically the next step is they wanna see you fall-fall-fall
I-i-i-i-it's a knife when
It's a knife when, it's a knife when (When, when)
All this sympathy is just a knife when (When)
It's a knife when, it's a knife when (When, when)
All this sympathy is just a—
It's a knife when you know they're counting on your mistakes
It's a knife when you're so pretty, they think it must be fake (Mm)
It's a knife when they dissect your body on the front page (Mm, ooh)
It's a knife when they won't believe you, why should you explain? (Yeah)
It's a knife when the mean fans hate the nice fans
When somebody says, ""Ari, I think you've totally changed"" (No shit)
(It's a knife) When somebody says they like the old me and not the new me
And I'm like, ""Who the fuck is she?""
'Cause it's a knife when you're finally on top (On top)
'Cause logically the next step is they wanna see you fall to the bottom
It's a knife when you're finally on top (On top, ooh)
'Cause logically the next step is they wanna see you fall-fall-fall
I-i-i-i-it's a knife when (It's a knife when)
It's a knife when (It's a knife when)
It's a knife when (When, when)
All this sympathy is just a knife when (It's a knife when)
It's a knife when (It's a knife when)
It's a knife when (Ah)
All this sympathy is just a kn—
(All this sympathy is just a knife)
All this expectation is a knife
(All this sympathy is just a knife)
All the things I've said are just a knife
(All this sympathy is just a knife)
All this expectation is a knife (Mm)
(All this sympathy is just a knife)
Yeah (Mm)
(All this sympathy is just a knife)
All this expectation is a knife (Mm, yeah, mm)
(All this sympathy is just a knife)
All the things I've said are just a knife (Mm, yeah, mm)
(All this sympathy is just a knife)
All this expectation is a knife-knife-knife-knife-knife (Mm, yeah, mm)"
I might say something stupid featuring the 1975 & jon hopkins,250603,4.18,FALSE,4,1,57,2024-10-14,35,album,0.263,0.202,4,-14.356,1,0.034,0.852,0.00554,0.126,0.0995,137.982,4,5525818,250.60399,,22050,1,"I could say something smart
But might say something stupid
(Talk to myself in the mirror)
I get so cold (So cold)
I don't know if I belong here anymore
Rot in your house in a tie
Putting my skin into anything
I eat a lot like a fly
I get nervous and sip the wine
Don't worry, it's pretty common
It happens to lots of guys
Medicine makes me a problem
""I'm famous, but I'm not quite""
Rot in my house in L.A.
Thinkin' of givin' up everything
Now I'm watchin' what I say
These interviews are so serious
My friends went through this before, yeah
It happens to lots of guys
Medicine makеs him a problem
""I'm famous, but I'm not quite"""
Talk talk featuring troye sivan,173076,2.88,TRUE,5,1,59,2024-10-14,35,album,0.731,0.817,8,-5.595,1,0.0791,0.0196,6.13E-06,0.349,0.661,130.032,4,3816346,173.07692,,22050,1,"Talk to me
Troye, baby
Hay una fiesta en mi casa, vengan
Será muy divertido
Are we getting too close?
You're leaving things in my head
I'll be honest, you scare me
My life's supposed to be a party
(Do yo-you ever think about me?)
'Cause we talk that talk, yeah we talk all night
And the more I know you, the more I like you
Can you stick with me? Maybe just for life?
And say what's on your mind? My baby
Talk to me in French, talk to me in Spanish
Talk to me in your own made-up language
Doеsn't matter if I understand it (My baby)
Talk right in my ear (Yеah, yeah)
Tell me your secrets and fears (Yeah, yeah)
Once you talk to me, I'll talk to you
And say, ""Hey, shall we go back to my place?""
'Kay, here's the plan
I wanna fly you out to Amsterdam
I got a good hotel to fuck you in, I wanna—
Boy, come see me
We could pop our shit to Charli
In the med your arms around me
Talk to me in French, French, French, French
Talk-talk-talk-talk-talk-talk to me in Spanish, Spanish, Spanish, Spanish
Talk-talk-talk-talk to me in French, French, French, French
Talk-talk-talk-talk-talk-talk to me in Spanish, Spanish
Shall we go back to my place?
You're thinkin' 'bout me (Thinkin' 'bout me)
No, don't pretend that you aren't (You aren't)
We're still obsessed like we just met (Just met)
And when you fuck me, it's crazy (Crazy)
You're thinkin' 'bout me
'Cause we talk that talk, yeah we talk all night
And the more I know you, the more I like you
Can you stick with me? Maybe just for life?
And say what's on your mind? My baby
Talk to me in French, talk to me in Spanish
Talk to me in your own made-up language
Doesn't matter if I understand it
Talk right in my ear
Tell me your secrets and fears
Once you talk to me, I'll talk to you
And say, ""Hey, shall we go back to my place?""
'Kay, here's the plan
I wanna fly you out to Amsterdam
I got a good hotel to fuck you in, I wanna—
Boy, come see me
We could pop our shit to Charli
In the med your arms around me
Shall we go back to my—
Talk to me in French, French, French, French
Talk-talk-talk-talk-talk-talk to me in Spanish, Spanish, Spanish, Spanish
Talk-talk-talk-talk to me in French, French, French, French
Talk-talk-talk-talk-talk-talk to me in Spanish, Spanish
Shall we go back to my place?J'ai perdu mon téléphone mais tu sais quoi
Ça valait la peine parce que c'était une soirée de fou
Yeah, last night was crazy
Let's do it again
Shall we go back to my place?"
Von dutch a. g. cook remix featuring addison rae,157328,2.62,FALSE,6,1,58,2024-10-14,35,album,0.669,0.778,9,-5.386,1,0.178,0.0602,0,0.359,0.342,137.699,4,3469098,157.3287,,22050,1,"I'm-I'm just living that life
Von Dutch
, cult classic
, but I still pop
Every time my track drops, you're jealous
I'm just living that life
While you're sittin' in your dad's basement
Bet you're disappointed that I'm shinin'
I'm just living that life
Von Dutch, cult classic, but I still pop
Pop the LV cases, watch me do a little globe trot
Got a lot to say about my debut
About my constant revenue
I guess it makes sense 'cause I'm just living that life
You just wanna scream my name
On and on, on and on
'Cause I'm just living that
You just wanna scream my name
On and on, on and on
'Cause I'm just living that life
Made another page just to look at my pics
My tight dress and red lips, I know you want it
I'm just living that life
Linked with Addison on Melrose
Bought some cute clothes and wrote this in the studio
'Cause I'm just living that life
Von Dutch, cult classic, but I still pop
Always give me more views, it's kinda like your day job
Got a lot to say about my debut
'Bout all of the things I do
I guess it makes sense 'cause I'm just living that life
I'm just living that life
I'm just living that life, uh
I'm just living that life
Number one
'Cause I'm just living this life
You just wanna scream my name
On and on, on and on
'Cause I'm just living that (Life)
You just wanna scream my name
On and on, on and on
'Cause I'm just living that life
All these girls are like
""Ah, can I get a picture?""
And then they go online like (Von Dutch, cult classic, but I still pop)
""Just kidding, I hate you"" (Von Dutch, cult classic, but I still pop)
(Von Dutch)
'Cause we're just living that life"
